time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
0.0001605,3013.42104706,54481.8382606,54479.1055434,0.00272998724667,1
0.000161,2972.0415476,53733.0772601,53730.3820924,0.00269247522775,1
0.0001615,2931.26213052,52995.1853441,52992.527181,0.00265550754812,1
0.000162,2891.0737118,52267.9977413,52265.3760462,0.002619075961,1
0.0001625,2851.46734926,51551.3522596,51548.7665041,0.00258317234855,1
0.000163,2812.43424031,50845.0892444,50842.5389079,0.0025477887198,1
0.0001635,2773.9657197,50149.0515382,50146.5361081,0.0025129172086,1
0.000164,2736.05325736,49463.0844393,49460.6034107,0.00247855007161,1
0.0001645,2698.68845622,48787.0356639,48784.5885396,0.00244467968637,1
0.000165,2661.8630501,48120.7553063,48118.3415965,0.00241129854933,1
0.0001655,2625.56890162,47464.0958025,47461.7150248,0.00237839927403,1
0.000166,2589.79800017,46816.9118906,46814.5635701,0.00234597458912,1
0.0001665,2554.54245988,46179.0605753,46176.744244,0.00231401733661,1
0.000167,2519.79451761,45550.4010918,45548.1162888,0.00228252047002,1
0.0001675,2485.54653103,44930.7948698,44928.5411413,0.00225147705265,1
0.000168,2451.79097671,44320.1054983,44317.8823971,0.00222088025574,1
0.0001685,2418.52044816,43718.1986913,43716.0057773,0.00219072335686,1
0.000169,2385.72765406,43124.9422546,43122.7790939,0.00216099973814,1
0.0001695,2353.40541636,42540.2060511,42538.0722165,0.00213170288464,1
0.00017,2321.54666852,41963.8619692,41961.75704,0.00210282638271,1
0.0001705,2290.1444537,41395.7838899,41393.7074517,0.00207436391833,1
0.000171,2259.19192307,40835.8476555,40833.7992999,0.00204630927564,1
0.0001715,2228.68233405,40283.9310373,40281.9103623,0.00201865633525,1
0.000172,2198.60904864,39739.913707,39737.9203165,0.00199139907281,1
0.0001725,2168.96553176,39203.6772041,39201.710708,0.0019645315574,1
0.000173,2139.74534961,38675.1049074,38673.1649214,0.00193804795013,1
0.0001735,2110.94216806,38154.082006,38152.1681515,0.00191194250268,1
0.000174,2082.54975111,37640.4954702,37638.6073744,0.00188620955578,1
0.0001745,2054.56195925,37134.2340223,37132.3713179,0.00186084353786,1
0.000175,2026.97274803,36635.1881103,36633.3504355,0.00183583896369,1
0.0001755,1999.77616646,36143.2498796,36141.436878,0.00181119043292,1
0.000176,1972.96635561,35658.3131461,35656.5244665,0.00178689262879,1
0.0001765,1946.53754709,35180.2733695,35178.5086663,0.00176294031681,1
0.000177,1920.48406164,34709.027628,34707.2865604,0.00173932834342,1
0.0001775,1894.80030774,34244.4745919,34242.7568242,0.00171605163476,1
0.000178,1869.48078018,33786.5144984,33784.8197001,0.00169310519536,1
0.0001785,1844.52005871,33335.049127,33333.3769724,0.00167048410694,1
0.000179,1819.91280672,32889.9817747,32888.331943,0.00164818352709,1
0.0001795,1795.65376988,32451.2172327,32449.5894078,0.00162619868822,1
0.00018,1771.73777486,32018.6617616,32017.0556321,0.00160452489629,1
0.0001805,1748.15972805,31592.2230692,31590.6383285,0.00158315752961,1
0.000181,1724.91461428,31171.8102869,31170.2466327,0.00156209203777,1
0.0001815,1701.99749561,30757.3339471,30755.7910819,0.00154132394048,1
0.000182,1679.40351009,30348.7059618,30347.1835922,0.00152084882647,1
0.0001825,1657.12787057,29945.8395999,29944.3374369,0.00150066235238,1
0.000183,1635.1658635,29548.6494662,29547.1672252,0.0014807602417,1
0.0001835,1613.51284781,29157.0514802,29155.5888807,0.00146113828373,1
0.000184,1592.1642537,28770.9628548,28769.5196207,0.0014417923325,1
0.0001845,1571.11558158,28390.3020771,28388.8779361,0.0014227183058,1
0.000185,1550.36240095,28014.9888871,28013.583571,0.00140391218414,1
0.0001855,1529.90034927,27644.9442578,27643.5575025,0.00138537000974,1
